ID,Name,Year,Runtime,Genre,Language,IMDBScore,Comment,Link,TMDBkey
27,Wayne's World,1992,94,"Comedy, Music",English,7,"Waynes World, party time, excellent",https://www.imdb.com/title/tt0105793/,
28,Napoleon Dynamite,2004,96,Comedy,English,7,A fun deadpan indy,https://www.imdb.com/title/tt0374900/,
29,All My Friends Hate Me,2021,93,"Comedy, Horror",English,6.3,"Anxiety-inducing film that makes you feel on edge, but I like that. It's almost a horror but is really a dark comedy playing on that feeling of being out of place even among your friends. Or is that just me? I digress!",https://www.imdb.com/title/tt9340892/,
30,The Father,2020,97,"Drama, Mystery",English,8.2,"A sad, engaging, mind-bending watch about a man's deteriorating health. Olivia Coleman and Anthony Hopkins play off each other so well",https://www.imdb.com/title/tt10272386/,
31,Assault on Precinct 13,1976,91,"Action, Crime, Thriller",English,7.3,What's that? Another John Carpenter Happy Hundy? You bet. This time a bottle film set inside a police station under attack,https://www.imdb.com/title/tt0074156/,
32,My Neighbor Totoro,1988,86,"Animation, Comedy, Family",Japanese,8.1,A fantasy animation for kids and adults alike from Studio Ghibli,https://www.imdb.com/title/tt0096283/,
33,Airplane!,1980,88,Comedy,English,7.7,Surreal silly (in a good way) comedy parodying plane disaster films ,https://www.imdb.com/title/tt0080339/,
34,Zombieland,2009,88,"Action, Comedy, Horror",English,7.6,A zombie horror comedy featuring a great cast and some gory fun,https://www.imdb.com/title/tt1156398/,
35,Sexy Beast,2000,89,"Crime, Drama, Thriller",English,7.3,A fantastic opening scene gives way to a top notch crime thriller under the baking sun of the Costa del Sol. Ray Winstone and Ben Kingsley are at their best here. Proper good English film innit,https://www.imdb.com/title/tt0203119/,
36,Stand by Me,1986,89,"Adventure, Drama",English,8.1,Nostalgic film harkening back to our days of youth when we would go looking for dead bodies,https://www.imdb.com/title/tt0092005/,
37,La haine,1995,98,"Crime, Drama",French,8.1,An often-hyped French film that more than lives up to it. A gritty tale about people living in the forgotten and deprived outskirts of Paris,https://www.imdb.com/title/tt0113247/,
38,Trainspotting,1996,93,Drama,English,8.1,Consistently ranked as one of the best British films of all time and for good reason. A funny and sad film about addiction and poverty and friendship!,http://www.imdb.co.uk/title/tt0117951,
39,Taken,2008,90,"Action, Crime, Thriller",English,7.8,It could have been a throwaway action film but it's saved by Liam Neeson and some well-orchestrated violence. Although the Albanian Tourist Board must not be happy. We don't blame them,https://www.imdb.com/title/tt0936501/,
40,"Monsters, Inc.",2001,92,"Animation, Adventure, Comedy, Family",English,8.1,Surely one of the best Pixar animations. Touching and funny!,https://www.imdb.com/title/tt0198781/,
41,Mean Girls,2004,97,Comedy,English,7.1,Comment coming soon!,https://www.imdb.com/title/tt0377092/,
42,Son of Rambow,2007,96,"Action, Adventure, Comedy, Family",English,7,Comment coming soon!,https://www.imdb.com/title/tt0845046/,
43,Ice Age,2002,81,"Animation, Adventure, Comedy, Family",English,7.5,Comment coming soon!,https://www.imdb.com/title/tt0268380/,
44,Lady Bird,2017,94,"Comedy, Drama",English,7.4,Beautiful film with a great story. Top work all round from director Greta Gerwig and Saoirse Ronan in the lead role,https://www.imdb.com/title/tt4925292/,
45,Klaus,2019,96,"Animation, Adventure, Comedy, Family",English,8.2,A modern Christmas film that isn't shit. Praise be,https://www.imdb.com/title/tt4729430/,
46,Juno,2007,96,"Comedy, Drama",English,7.5,Comment coming soon!,https://www.imdb.com/title/tt0467406/,
47,Punch-Drunk Love,2002,95,"Comedy, Drama, Romance",English,7.3,Comment coming soon!,https://www.imdb.com/title/tt0272338/,
48,Attack the Block,2011,88,"Action, Adventure, Comedy",English,6.7,Comment coming soon!,https://www.imdb.com/title/tt1478964/,
49,Liar Liar,1997,86,"Comedy, Fantasy",English,6.9,Comment coming soon!,https://www.imdb.com/title/tt0119528/,
50,Ace Ventura: Pet Detective,1994,86,Comedy,English,6.9,Comment coming soon!,https://www.imdb.com/title/tt0109040/,
51,Cloverfield,2008,85,"Action, Adventure, Horror",English,7,Comment coming soon!,https://www.imdb.com/title/tt1060277/,
52,Lilo & Stitch,2002,85,"Animation, Adventure, Comedy, Family",English,7.3,Comment coming soon!,https://www.imdb.com/title/tt0275847/,
53,Happy Gilmore,1996,92,"Comedy, Sport",English,7,Comment coming soon!,https://www.imdb.com/title/tt0116483/,
54,Austin Powers: International Man of Mystery,1997,89,"Adventure, Comedy",English,7,Comment coming soon!,https://www.imdb.com/title/tt0118655/,
